incident_id;datum;country_id;region_id;subregion_id;ort;elevation;latitude;longitude;incline;aspect_id;danger_id;n_injured;n_dead;n_uninjured;involved_sum;involved;valid_time;revision
446;2015-02-28 11:30:00;1;1;173;Hohe Warte / Navis;2300;47.11675;11.58639;45;8;2;0;0;6;6;yes;true;1
447;2015-02-07 13:00:00;12;38;58;Západné Tatry - Bystrá dolina - Ježová;2025;49.17396;19.83583;45;4;2;1;0;1;2;yes;true;1
448;2015-02-14 11:00:00;1;1;161;Seefelder Spitze;2200;47.33462;11.23727;35;7;2;0;0;1;1;yes;true;1
449;2015-02-05 10:31:00;14;40;60;Malá Studniční jáma;1481;50.7262;15.71568;45;3;3;1;1;1;3;yes;true;1
450;2015-02-15 12:10:00;1;5;148;Lahnerleitenspitz;1950;47.49302;14.6777;44;1;1;1;2;1;4;yes;true;1
451;2015-02-18 16:47:00;1;1;178;Wasserfallferner;2700;46.82169;11.04147;40;2;2;0;0;4;4;yes;true;1
452;2015-02-22 15:05:00;1;5;143;Guschen;1950;47.3366;13.64792;45;1;2;0;1;0;1;yes;true;1
455;2015-02-26 15:30:00;1;1;172;Nockspitze;2200;47.1939;11.32745;35;1;2;0;0;0;0;yes;true;1
458;2015-02-28 13:15:00;1;1;163;Kirchdorf Kaisergebirge;2100;47.5581;12.33332;40;1;2;0;0;1;1;yes;true;1
461;2015-02-28 11:40:00;1;1;165;Lange Pleis;2500;47.16083;10.45912;45;3;3;0;0;0;0;yes;true;1
463;2015-03-01 15:00:00;1;1;186;Stollen;2350;46.66281;12.61854;40;1;3;0;0;0;0;yes;true;1
468;2015-02-28 15:30:00;1;1;158;Nesselwängler Scharte;1850;47.50004;10.6253;35;1;2;0;0;1;1;yes;true;1
470;2015-02-03 09:00:00;1;1;168;Kappl /Quellspitz;2600;47.07626;10.32935;40;3;3;0;0;1;1;yes;true;1
471;2015-02-23 12:50:00;1;1;170;Versingalpe;2100;47.08409;10.50332;25;1;2;0;0;1;1;yes;true;1
479;2015-03-03 16:15:00;1;2;83;Auenfelderhorn;2180;47.25121;10.13992;38;1;4;0;0;1;1;yes;true;1
480;2015-03-03 09:55:00;1;1;175;Lämpersberg;1860;47.35423;12.03698;36;4;2;0;0;1;1;yes;true;1
481;2015-03-05 11:30:00;1;1;172;St.Leonhard i.P., Weixmannstall;;47.03252;10.85051;;3;3;0;0;4;4;yes;true;1
482;2015-03-08 12:02:00;1;1;166;Rosskogel-Kögele;2120;47.22475;11.17195;37;8;3;0;0;0;0;yes;true;1
