incident_id;datum;country_id;region_id;subregion_id;ort;elevation;latitude;longitude;incline;aspect_id;danger_id;n_injured;n_dead;n_uninjured;involved_sum;involved;valid_time;revision;region_name;involved_id;___id;___s
6782;1994-01-27 00:00:00;1;1;160;Seegrube - Diretissima;2100;47.395003;11.260003;;4;;1;0;;;yes;true;1;Tirol;2001;T000002R000042;true
6783;1994-01-29 00:00:00;2;9;18;Große Paula - östl. Ortseingang;;46.995004;10.385004;;;;0;0;;;none;true;1;Schweiz-Suisse-Svizzera-Svizra;0;T000002R000043;true
6784;1994-01-29 00:00:00;2;9;18;Großtal - ca. 200m westl. vom Ortsende;;46.995005;10.385005;;;;0;0;;;none;true;1;Schweiz-Suisse-Svizzera-Svizra;0;T000002R000044;true
6785;1994-01-30 00:00:00;1;1;178;Festkogelbahn - Stöcklseite;2300;46.874743;11.039359;37;6;3;2;1;;;yes;true;1;Tirol;30001;T000002R000045;true
6786;1994-01-30 00:00:00;1;1;165;Gampberg - Rendlgebiet;2100;47.270001;10.535001;40;2;3;1;0;;;yes;true;1;Tirol;2001;T000002R000046;true
6787;1994-01-30 00:00:00;1;1;172;Roter Schrofen - Mittagskopf;2000;47.115006;11.005006;;8;3;1;0;;;yes;true;1;Tirol;2001;T000002R000047;true
6788;1994-02-01 00:00:00;1;1;177;Kirchenkögele - ;2500;46.930004;10.985004;30;7;3;1;0;;;yes;true;1;Tirol;2001;T000002R000048;true
6789;1994-02-16 00:00:00;1;1;183;Finstere Tal - ;2500;47.057552;12.673468;40;7;2;0;1;;;yes;true;1;Tirol;30001;T000002R000049;true
6790;1994-03-05 00:00:00;1;1;173;Eiskarspitze - Torspitze/Tuxer Voralpen;2200;47.235004;11.645004;;;;0;0;;;yes;true;1;Tirol;0;T000002R000050;true
6791;1994-03-07 00:00:00;1;1;172;Gschwezgrat - Nähe Franz-Senn-Hütte;2600;47.115007;11.005007;35;7;3;4;0;;;yes;true;1;Tirol;2004;T000002R000051;true
6792;1994-03-09 00:00:00;2;9;18;Velliltal - ;1700;46.995006;10.385006;;;;0;0;;;none;true;1;Schweiz-Suisse-Svizzera-Svizra;0;T000002R000052;true
6793;1994-03-11 00:00:00;1;1;172;Sennjoch - Schlick;2180;47.115008;11.005008;40;4;2;1;0;;;yes;true;1;Tirol;2001;T000002R000053;true
6794;1994-03-12 00:00:00;1;1;177;Bueserkopf - ;2600;46.930005;10.985005;;;;0;0;;;none;true;1;Tirol;0;T000002R000054;true
6795;1994-04-14 00:00:00;1;1;177;Guslarspitze - ;2700;46.930006;10.985006;35;5;3;1;0;;;yes;true;1;Tirol;2001;T000002R000055;true
6796;1994-04-27 00:00:00;1;1;181;Großer Geiger - Großvenedigergruppe;3300;47.025001;12.430001;30;6;2;1;0;;;yes;true;1;Tirol;2001;T000002R000056;true
6797;1994-10-31 00:00:00;1;1;172;Habicht - Gipfelregion;3240;47.115009;11.005009;;1;;1;0;;;yes;true;1;Tirol;2001;T000002R000057;true
6798;1994-11-12 00:00:00;1;1;177;Rettenbachferner - ;2800;46.930007;10.985007;45;;;0;0;;;yes;true;1;Tirol;0;T000002R000058;true
6799;1994-11-13 00:00:00;1;1;177;Pitztaler Jöchl - ;;46.930008;10.985008;;;;0;0;;;yes;true;1;Tirol;0;T000002R000059;true
6800;1995-01-03 00:00:00;1;1;164;Schöngraben - Thörli/ Kapall;1700;47.148918;10.270961;50;4;4;0;3;;;yes;true;1;Tirol;30003;T000002R000060;true
6801;1995-01-18 00:00:00;1;1;173;Landstraße Ellbögen - nördl. von St. Peter;;47.235005;11.645005;;;;0;0;;;none;true;1;Tirol;0;T000002R000061;true
6802;1995-01-19 00:00:00;1;1;180;Vals, Nr. 11 -;;47.105002;11.810002;;;;1;0;;;yes;true;1;Tirol;2001;T000002R000062;true
6803;1995-01-22 00:00:00;1;1;172;"\Kraspestal/ Bereich \""\""Zweite Zwinge- - Zwieselbacher Roßkogel""";2440;47.11501;11.00501;;;;0;0;;;yes;true;1;Tirol;0;T000002R000063;true
6804;1995-01-24 00:00:00;1;1;180;Gerlosstraße - ;;47.105003;11.810003;;;;0;0;;;none;true;1;Tirol;0;T000002R000064;true
6805;1995-02-07 00:00:00;1;1;160;Hafelekar - Seilbahnrinne;2256;47.395004;11.260004;;6;2;1;0;;;yes;true;1;Tirol;2001;T000002R000065;true
6806;1995-02-11 00:00:00;1;1;173;Scheibenspitze - Gipfelregion;2498;47.106255;11.572334;44;2;2;1;3;;;yes;true;1;Tirol;30003;T000002R000066;true
6807;1995-02-18 00:00:00;1;1;173;Mühlbachl - B182;;47.235006;11.645006;;7;;0;0;;;none;true;1;Tirol;0;T000002R000067;true
6808;1995-02-18 00:00:00;1;1;158;Strindental - Strindenbachschlucht;1300;47.486994;10.567249;41;7;2;0;1;;;yes;true;1;Tirol;30001;T000002R000068;true
6809;1995-02-25 00:00:00;1;1;165;Namloser Landstraße - Lagga - Sprung;;47.270002;10.535002;;;;0;0;;;none;true;1;Tirol;0;T000002R000069;true
6810;1995-02-27 00:00:00;2;9;18;Freier Schiraum - ;;46.995007;10.385007;;3;;0;0;;;yes;true;1;Schweiz-Suisse-Svizzera-Svizra;0;T000002R000070;true
6811;1995-02-27 00:00:00;1;1;175;Hahnenkamm - Steinbergkogel;;47.390002;12.240002;;3;;0;0;;;yes;true;1;Tirol;0;T000002R000071;true
6812;1995-03-01 00:00:00;1;1;180;Silleskogel - westl. Schidepot;2400;47.105004;11.810004;35;8;2;1;0;;;yes;true;1;Tirol;2001;T000002R000072;true
6813;1995-03-11 00:00:00;1;1;181;Grünseehütte - ;2500;47.025002;12.430002;45;6;;0;0;;;yes;true;1;Tirol;0;T000002R000073;true
6814;1995-03-22 00:00:00;1;1;164;Galzig - Zammermoos;1900;47.13172;10.220457;44;6;4;0;1;;;yes;true;1;Tirol;30001;T000002R000074;true
6815;1995-03-23 00:00:00;1;1;173;Glungezer - Kleine Diretissima;2000;47.235007;11.645007;;;;0;0;;;none;true;1;Tirol;0;T000002R000075;true
